,Price,Made Year,Manufacture,Model,Kilometer
1064,61888.00,2016.0,BMW,BMWX6,35000
1065,35800.00,2015.0,Jeep,JeepG,95000
1066,38180.00,2016.0,Toyota,Toyot,74500
1067,68988.00,2016.0,Land,Range Rover,89000
1068,35988.00,2013.0,Audi,AudiQ,57000
1069,50888.00,2014.0,Mercedes-Benz,Merce,98000
1070,35888.00,2014.0,Audi,AudiQ,99000
1071,41288.00,2017.0,Infiniti,Infin,21774
1072,36888.00,2017.0,Infiniti,Infin,23228
1073,37995.00,2016.0,BMW,BMWX1,13744
1074,44888.00,2017.0,Volvo,Volvo,18967
